iter	Passed	Remaining
0	116	116176
1	120	60055
2	122	40871
3	125	31183
4	130	25908
5	133	22079
6	135	19260
7	138	17133
8	140	15463
9	144	14286
10	146	13190
11	149	12280
12	150	11459
13	152	10744
14	154	10118
15	156	9595
16	158	9137
17	159	8701
18	160	8308
19	162	7943
20	163	7607
21	164	7298
22	165	7017
23	166	6771
24	167	6538
25	168	6315
26	169	6105
27	170	5913
28	171	5737
29	173	5597
30	175	5480
31	176	5336
32	177	5199
33	178	5070
34	179	4949
35	180	4837
36	181	4727
37	182	4624
38	183	4525
39	184	4434
40	185	4346
41	187	4271
42	188	4200
43	189	4123
44	191	4061
45	192	3995
46	193	3926
47	194	3860
48	195	3794
49	196	3730
50	197	3667
51	197	3607
52	198	3553
53	199	3497
54	200	3443
55	201	3390
56	202	3349
57	203	3310
58	204	3263
59	205	3218
60	206	3172
61	206	3129
62	207	3086
63	208	3045
64	208	3005
65	209	2967
66	210	2929
67	211	2892
68	211	2859
69	212	2824
70	213	2789
71	213	2756
72	214	2724
73	215	2692
74	215	2662
75	217	2638
76	219	2625
77	219	2597
78	220	2570
79	221	2543
80	221	2516
81	222	2490
82	223	2465
83	224	2442
84	224	2420
85	225	2396
86	226	2373
87	226	2350
88	227	2328
89	228	2306
90	228	2285
91	229	2265
92	230	2244
93	231	2226
94	231	2207
95	234	2205
96	235	2189
97	235	2171
98	236	2155
99	237	2137
100	238	2119
101	238	2102
102	239	2085
103	240	2069
104	240	2052
105	241	2037
106	242	2022
107	243	2007
108	243	1992
109	244	1977
110	245	1962
111	245	1948
112	246	1935
113	247	1922
114	248	1914
115	249	1904
116	250	1891
117	251	1879
118	252	1866
119	252	1853
120	253	1842
121	254	1829
122	254	1817
123	255	1806
124	256	1795
125	257	1783
126	257	1772
127	258	1761
128	259	1749
129	259	1738
130	260	1728
131	261	1718
132	262	1712
133	264	1709
134	265	1700
135	266	1689
136	266	1679
137	267	1669
138	268	1660
139	268	1651
140	269	1642
141	270	1633
142	270	1623
143	271	1614
144	272	1605
145	272	1596
146	273	1587
147	274	1579
148	275	1571
149	275	1563
150	276	1554
151	277	1546
152	278	1540
153	279	1536
154	280	1529
155	281	1522
156	282	1514
157	282	1506
158	283	1499
159	284	1491
160	284	1483
161	285	1476
162	286	1469
163	286	1461
164	287	1455
165	288	1449
166	289	1442
167	289	1435
168	290	1428
169	291	1421
170	291	1414
171	292	1409
172	294	1406
173	295	1401
174	295	1394
175	296	1388
176	297	1381
177	297	1375
178	298	1369
179	299	1363
180	300	1357
181	300	1351
182	301	1345
183	301	1339
184	302	1333
185	303	1327
186	303	1321
187	304	1315
188	305	1310
189	306	1305
190	306	1299
191	307	1295
192	309	1294
193	310	1289
194	311	1283
195	311	1278
196	312	1273
197	313	1268
198	313	1263
199	314	1257
200	315	1252
201	315	1247
202	316	1242
203	317	1237
204	317	1232
205	318	1227
206	319	1223
207	320	1218
208	320	1213
209	321	1208
210	322	1204
211	323	1201
212	324	1200
213	325	1196
214	326	1192
215	327	1187
216	327	1182
217	328	1178
218	329	1173
219	329	1169
220	330	1164
221	331	1161
222	332	1156
223	332	1152
224	333	1148
225	334	1143
226	334	1139
227	335	1135
228	335	1131
229	336	1126
230	337	1122
231	338	1120
232	339	1119
233	340	1115
234	341	1112
235	342	1108
236	343	1104
237	343	1100
238	344	1097
239	345	1094
240	346	1090
241	346	1086
242	347	1082
243	348	1078
244	348	1074
245	349	1071
246	350	1067
247	351	1064
248	351	1060
249	352	1057
250	353	1053
251	354	1052
252	355	1050
253	356	1046
254	357	1043
255	357	1040
256	358	1036
257	359	1033
258	359	1029
259	360	1026
260	361	1022
261	361	1019
262	362	1016
263	363	1013
264	364	1009
265	364	1006
266	365	1003
267	366	999
268	366	996
269	367	993
270	368	990
271	369	988
272	370	987
273	371	984
274	372	980
275	372	977
276	373	974
277	374	971
278	374	968
279	375	965
280	376	962
281	376	959
282	377	956
283	378	953
284	378	950
285	379	947
286	380	944
287	380	941
288	381	938
289	382	936
290	383	933
291	384	931
292	385	930
293	386	927
294	387	924
295	387	922
296	388	920
297	389	917
298	390	914
299	390	911
300	391	909
301	392	906
302	392	903
303	393	900
304	394	898
305	394	895
306	395	893
307	396	891
308	397	888
309	398	886
310	399	885
311	400	883
312	401	881
313	402	879
314	403	876
315	404	874
316	404	872
317	405	869
318	406	867
319	407	865
320	408	863
321	408	860
322	409	858
323	410	856
324	411	853
325	411	851
326	412	848
327	413	847
328	415	847
329	416	845
330	417	843
331	417	840
332	418	838
333	419	837
334	420	835
335	421	832
336	422	831
337	423	829
338	424	827
339	425	825
340	426	823
341	426	821
342	427	819
343	429	819
344	431	818
345	432	816
346	433	816
347	434	814
348	435	811
349	436	809
350	436	807
351	437	805
352	438	803
353	439	801
354	440	799
355	440	797
356	441	795
357	442	792
358	443	792
359	445	791
360	445	789
361	447	788
362	448	786
363	449	785
364	450	782
365	450	780
366	451	778
367	452	776
368	452	774
369	453	772
370	454	770
371	454	767
372	455	765
373	456	763
374	457	761
375	459	762
376	461	762
377	462	760
378	463	758
379	463	756
380	464	754
381	465	752
382	465	750
383	466	748
384	467	746
385	467	744
386	468	742
387	469	740
388	470	738
389	470	736
390	471	734
391	472	732
392	474	733
393	476	733
394	478	732
395	479	731
396	480	729
397	481	727
398	482	726
399	482	724
400	483	722
401	484	720
402	484	718
403	485	716
404	486	714
405	486	712
406	489	713
407	490	711
408	492	711
409	494	711
410	495	709
411	496	708
412	496	706
413	497	704
414	498	702
415	498	700
416	499	698
417	500	696
418	501	694
419	501	693
420	503	692
421	506	693
422	507	692
423	509	692
424	510	691
425	511	689
426	512	687
427	513	686
428	514	684
429	515	683
430	516	681
431	516	679
432	520	680
433	528	689
434	529	687
435	530	686
436	531	684
437	532	683
438	535	684
439	538	685
440	541	685
441	541	684
442	542	682
443	543	681
444	544	679
445	546	678
446	546	676
447	547	675
448	551	677
449	553	676
450	555	675
451	556	674
452	556	672
453	557	670
454	558	669
455	559	667
456	560	666
457	561	664
458	562	662
459	563	661
460	567	663
461	568	662
462	570	661
463	571	660
464	572	658
465	573	656
466	573	655
467	574	653
468	575	651
469	576	650
470	577	648
471	580	649
472	582	649
473	584	649
474	586	647
475	586	646
476	587	644
477	588	642
478	589	641
479	590	639
480	590	637
481	591	635
482	592	633
483	592	632
484	596	633
485	598	632
486	600	632
487	601	630
488	602	629
489	603	627
490	604	626
491	604	624
492	605	622
493	606	621
494	607	619
495	607	617
496	609	617
497	611	616
498	612	614
499	615	615
500	616	614
501	617	612
502	618	610
503	618	609
504	619	607
505	620	606
506	621	604
507	622	602
508	623	601
509	625	600
510	627	600
511	629	599
512	630	598
513	631	596
514	631	595
515	632	593
516	633	591
517	634	590
518	634	588
519	635	586
520	636	584
521	636	583
522	637	581
523	640	581
524	642	581
525	644	580
526	645	579
527	646	577
528	647	576
529	647	574
530	648	572
531	649	571
532	650	569
533	651	568
534	652	566
535	654	566
536	655	565
537	657	564
538	659	563
539	660	562
540	661	560
541	662	559
542	662	557
543	663	556
544	664	554
545	665	553
546	666	551
547	666	550
548	667	548
549	670	548
550	673	548
551	673	546
552	674	545
553	675	543
554	676	542
555	677	540
556	678	539
557	679	537
558	679	536
559	680	534
560	681	533
561	681	531
562	682	529
563	683	528
564	685	527
565	687	527
566	689	526
567	690	525
568	691	523
569	692	522
570	693	520
571	693	519
572	694	517
573	695	515
574	695	514
575	696	512
576	697	511
577	697	509
578	698	507
579	700	507
580	701	505
581	703	505
582	705	504
583	706	503
584	707	501
585	707	500
586	708	498
587	709	496
588	709	495
589	710	493
590	711	492
591	712	490
592	713	489
593	716	489
594	717	488
595	719	487
596	720	486
597	720	484
598	721	483
599	722	481
600	722	479
601	723	478
602	724	476
603	724	475
604	725	473
605	726	472
606	726	470
607	727	469
608	729	468
609	731	467
610	733	466
611	734	465
612	735	464
613	736	462
614	736	461
615	737	459
616	738	458
617	739	456
618	739	455
619	740	453
620	741	452
621	741	450
622	742	449
623	743	447
624	745	447
625	746	445
626	747	444
627	750	444
628	750	442
629	751	441
630	752	439
631	752	438
632	753	436
633	754	435
634	754	433
635	755	432
636	756	430
637	757	429
638	757	428
639	760	427
640	762	427
641	763	425
642	765	424
643	765	423
644	766	421
645	767	420
646	768	419
647	768	417
648	769	416
649	770	414
650	770	413
651	771	411
652	772	410
653	772	408
654	773	407
655	776	406
656	778	406
657	779	405
658	780	403
659	781	402
660	781	400
661	782	399
662	783	398
663	783	396
664	784	395
665	785	393
666	785	392
667	786	390
668	787	389
669	787	388
670	788	386
671	791	386
672	793	385
673	794	384
674	795	383
675	796	381
676	797	380
677	797	378
678	798	377
679	799	376
680	799	374
681	800	373
682	801	371
683	801	370
684	802	369
685	803	367
686	803	366
687	806	365
688	808	364
689	809	363
690	810	362
691	811	361
692	812	359
693	813	358
694	813	357
695	814	355
696	814	354
697	815	352
698	816	351
699	816	350
700	817	348
701	818	347
702	818	345
703	820	345
704	822	344
705	823	343
706	825	342
707	826	340
708	826	339
709	827	338
710	828	336
711	829	335
712	829	333
713	830	332
714	830	331
715	831	329
716	832	328
717	832	327
718	833	325
719	834	324
720	836	323
721	837	322
722	838	321
723	839	320
724	840	318
